,Date,Salinity (ppt),DissolvedOxygen (mg/L),pH,SecchiDepth (m),WaterDepth (m),WaterTemp (C),AirTemp (C),Date Year,Date Month,Date Day,Date DayOfWeek
58,1991-02-04,0.09999999999999999,0.440149878006274,0.75,0.027777777777777776,0.05754795663052543,0.12162162162162163,-0.41111111130592604,1991,2,4,0
59,1991-02-11,0.07777777777777777,0.7350993377483444,0.75,0.03333333333333333,0.03336113427856546,0.10135135135135136,-0.5777777779614816,1991,2,11,0
60,1991-02-21,0.13333333333333333,0.7152317880794703,0.75,0.022222222222222223,0.0592160133444537,0.16216216216216217,-0.41111111130592604,1991,2,21,3
61,1991-02-25,0.07777777777777777,0.7814569536423842,0.75,0.022222222222222223,0.022518765638031693,0.10810810810810811,-0.5777777779614816,1991,2,25,0
62,1991-03-04,0.13333333333333333,0.6622516556291391,0.75,0.022222222222222223,0.13261050875729774,0.20270270270270271,-0.0444444446637038,1991,3,4,0
63,1991-03-11,0.044444444444444446,0.8543046357615895,0.75,0.016666666666666666,0.028356964136780648,0.08108108108108109,-0.8444444446103705,1991,3,11,0
64,1991-03-18,0.07967425256581884,0.6589403973509934,0.7708333333333334,0.027777777777777776,0.05671392827356129,0.14864864864864866,-0.17777777798814826,1991,3,18,0
65,1991-03-25,0.0,0.6490066225165564,0.8020833333333334,0.030555555555555558,0.07756463719766471,0.1891891891891892,-0.24444444465037046,1991,3,25,0
66,1991-04-04,0.13333333333333333,0.7086092715231788,0.8020833333333334,0.035555555555555556,0.06422018348623852,0.17567567567567569,-0.17777777798814826,1991,4,4,3
67,1991-04-08,0.23333333333333334,0.5761589403973509,0.8020833333333334,0.035555555555555556,0.0683903252710592,0.2567567567567568,0.2888888886474073,1991,4,8,0
68,1991-04-15,0.13333333333333333,0.5894039735099339,0.75,0.035555555555555556,0.04253544620517097,0.1891891891891892,-0.07777777799481492,1991,4,15,0
69,1991-04-22,0.09999999999999999,0.6456953642384107,0.75,0.022222222222222223,0.045037531276063386,0.16891891891891891,-0.24444444465037046,1991,4,22,0
70,1991-04-29,0.26666666666666666,0.5496688741721856,0.75,0.03888888888888888,0.0658882402001668,0.27702702702702703,0.08888888866074064,1991,4,29,0
71,1991-05-06,0.28888888888888886,0.5298013245033113,0.75,0.03888888888888888,0.07839866555462885,0.28378378378378377,0.4555555553029629,1991,5,6,0
72,1991-05-20,0.14444444444444443,0.6291390728476822,0.75,0.03333333333333333,0.040867389491242696,0.20945945945945948,-0.11111111132592602,1991,5,20,0
73,1991-06-10,0.3333333333333333,0.456953642384106,0.75,0.03333333333333333,0.05754795663052543,0.31081081081081086,0.6222222219585184,1991,6,10,0
74,1991-06-17,0.42222222222222217,0.4503311258278146,0.75,0.03611111111111111,0.09007506255212677,0.35135135135135137,0.6888888886207406,1991,6,17,0
75,1991-06-26,0.31111111111111106,0.5364238410596026,0.75,0.027777777777777776,0.05754795663052543,0.28378378378378377,0.3222222219785184,1991,6,26,2
76,1991-07-09,0.19999999999999998,0.5165562913907285,0.75,0.03888888888888888,0.07839866555462885,0.3783783783783784,0.8555555552762962,1991,7,9,1
77,1991-07-15,0.0,0.5298013245033113,0.75,0.10999999999999999,0.030442035029190993,0.37162162162162166,0.7555555552829628,1991,7,15,0
78,1991-07-25,0.07967425256581884,0.5165562913907285,0.6979166666666667,0.044444444444444446,0.07631359466221851,0.3918918918918919,0.8222222219451851,1991,7,25,3
79,1991-08-02,0.07777777777777777,0.5298013245033113,0.75,0.03888888888888888,0.08465387823185987,0.3310810810810811,0.6555555552896295,1991,8,2,4
80,1991-08-09,0.07967425256581884,0.5562913907284769,0.8020833333333334,0.03888888888888888,0.08465387823185987,0.3648648648648649,0.8222222219451851,1991,8,9,4
81,1991-08-16,0.07967425256581884,0.5827814569536425,0.8020833333333334,0.042222222222222223,0.08340283569641367,0.33783783783783783,0.6222222219585184,1991,8,16,4
82,1991-08-23,0.07967425256581884,0.5165562913907285,0.8020833333333334,0.041666666666666664,0.07256046705587989,0.35135135135135137,0.7555555552829628,1991,8,23,4
83,1991-08-30,0.07967425256581884,0.5165562913907285,0.8020833333333334,0.058321970795861135,0.06276552924538563,0.35135135135135137,0.7222222219518517,1991,8,30,4
84,1991-09-06,0.07967425256581884,0.5099337748344371,0.8020833333333334,0.041666666666666664,0.07422852376980817,0.33783783783783783,0.5222222219651851,1991,9,6,4
85,1991-09-13,0.07967425256581884,0.543046357615894,0.8020833333333334,0.022222222222222223,0.030025020850708923,0.30405405405405406,0.5555555552962962,1991,9,13,4
86,1991-09-23,0.19999999999999998,0.5629139072847682,0.8020833333333334,0.034444444444444444,0.04253544620517097,0.2702702702702703,0.2888888886474073,1991,9,23,0
87,1991-10-04,0.38888888888888884,0.5099337748344371,0.75,0.031111111111111114,0.05754795663052543,0.28378378378378377,0.3555555553096295,1991,10,4,4
88,1991-10-17,1.0,0.6423841059602649,0.75,0.022222222222222223,0.05337781484570475,0.17567567567567569,-0.37777777797481493,1991,10,17,3
89,1991-10-31,0.2777777777777778,0.609271523178808,0.75,0.058321970795861135,0.12427022518765637,0.17567567567567569,-0.11111111132592602,1991,10,31,3
